,k_sat,c,t_sub,z,T_SA,NS
1865,2.86643148568614e-06,6.936974928170987,284.8557262916599,929.6415298065715,0.21154165842698244,0.5083282352115336
1866,2.696511212540463e-06,6.972722200647561,317.92659023987164,990.3809888907949,0.2113654471431923,0.4780877849643027
1867,2.584538659308959e-06,5.442284623954258,297.79274852842354,986.0391054338227,0.21118938264097112,0.49212666405869476
1868,2.884151156925998e-06,4.109496278199318,323.84271300684964,935.9166810449335,0.21101346479805197,0.16654931177283505
1869,2.4985725795066213e-06,6.308411273115564,311.23401760742314,1028.0224562489336,0.2108376934922696,0.48723632818404516
1870,2.795498607925235e-06,5.190287267625495,305.53927447251493,1074.9412003074333,0.21066206860156067,0.44444396670234665
1871,2.6444836623857567e-06,7.9340696103986765,339.296249290905,1077.0356902825463,0.2104865900039634,0.43309042094093186
1872,3.068178929963788e-06,5.917244776748799,276.338806691175,1236.3688225679714,0.2103112575776176,0.45461778355548477
1873,3.138410293431422e-06,5.175780163588037,268.93388221249126,1219.7195834103218,0.21013607120076472,0.42020800833584093
1874,4.180255139796577e-06,5.836817233373614,271.8785184149319,1345.9428754685619,0.2099610307517475,0.40277866138303686
1875,3.6518769573029725e-06,4.808359619005216,281.83763855949513,1236.580178430832,0.20978613610901006,0.3058476498435472
1876,4.211809783105067e-06,4.549939703546138,245.70682960745273,1259.5038282276855,0.20961138715109784,0.17652372300894137
1877,3.833288452541555e-06,3.9129387655594514,238.90606540752233,1206.9238559670466,0.20943678375665728,-0.12510144673467027
1878,4.134994306164353e-06,6.041601724170064,256.06127640612607,1420.402447823816,0.2092623258044361,0.4073169216138318
1879,4.302991821413461e-06,6.294683753786782,247.39416352782246,1440.2485969009015,0.2090880131732829,0.41303895831366644
1880,3.89611684081399e-06,5.71593776679808,229.79307474730572,1420.8321365552956,0.2089138457421473,0.42013963874608207
1881,3.874813820332087e-06,6.7922446875965035,229.05564445322335,1563.4639909537796,0.20873982339007957,0.40452819678596663
1882,3.4497093257217276e-06,8.129967617392289,225.472693433975,1713.0130000734475,0.20856594599623096,0.35952954370739376
1883,3.0324585285995508e-06,6.808800287754852,233.53854271014103,1620.686390222112,0.20839221343985326,0.4052577577008264
1884,2.2350970933458325e-06,7.317398851200062,249.64272764483104,1564.1518172500903,0.20821862560029875,0.4059665173014485
1885,2.910088547447731e-06,6.86282014044766,235.74620933059742,1491.6672793155924,0.20804518235702046,0.4246703174835833
1886,2.507772477078436e-06,5.606306334998484,249.58485336272568,1401.3637742395533,0.20787188358957154,0.45674106957120153
1887,2.887060573411885e-06,5.979344861020573,278.09906048579035,1482.0255206069278,0.20769872917760573,0.41871311835438263
1888,2.6615402979301885e-06,5.725192897573696,302.0448427508537,1338.91982646017,0.2075257190008769,0.43400798292144693
1889,3.026811838521528e-06,5.248725766798028,320.5718809687615,1490.3987064999258,0.20735285293923897,0.36768353154120725
1890,3.2712650063500785e-06,6.156273894446637,305.92353793357927,1405.6387481760198,0.2071801308726462,0.4072392151700631
1891,3.6159210902961033e-06,7.188838904040566,278.59748642577284,1239.5946187856057,0.2070075526811526,0.427287207597117
1892,4.371650046469863e-06,8.325702653318446,280.74836932903133,1208.0750227366223,0.20683511824491227,0.4047536748717504
1893,4.9155563778583845e-06,6.893145294432067,263.75141610820026,1037.979749003057,0.20666282744417902,0.48028371354277466
1894,4.241651001096406e-06,6.926846962764856,265.031838401489,848.6847048088987,0.20649068015930644,0.5169203913871935
1895,4.169414282132315e-06,6.144229638518247,276.51113750302426,937.7528673827362,0.20631867627074787,0.4836763009749123
1896,4.069228615004773e-06,4.859109925787573,260.5039998083246,815.0179592338906,0.20614681565905604,0.36324682846984
1897,4.600287273409438e-06,4.8607175641204226,243.55002020757658,981.2348821734947,0.20597509820488347,0.3140778747765499
1898,5.069326019400588e-06,5.225201304787671,262.9548787257835,1043.4721512177823,0.20580352378898173,0.36887369504667356
1899,4.701457709306447e-06,5.901479817034401,258.4191548098425,1120.9442935177894,0.20563209229220206,0.44980631954709893
1900,4.562745786259484e-06,8.694232188224412,220.23779280333247,1155.9273048479042,0.20546080359549473,0.4557726772446995
1901,4.5994297063690086e-06,9.072058225206199,177.82206851024975,1123.3557931868427,0.20528965757990925,0.4955457373630693
1902,4.508182011844237e-06,9.912220869647802,171.35941151009445,1171.283503194095,0.20511865412659425,0.4789057414912028
1903,4.152109896517494e-06,9.254317847532095,174.06715691131947,1066.5707394534884,0.20494779311679726,0.5064660726727566
1904,4.3386839222993325e-06,10.002425168626528,156.32538559027893,966.6377781709243,0.2047770744318649,0.5480376207269435
1905,4.316302306793202e-06,10.85438748930057,168.77330056743526,1109.0066509707333,0.20460649795324246,0.4895824385509143
1906,4.826500336254656e-06,9.168739653142733,181.48077621400174,1061.3383017601936,0.20443606356247396,0.5100904684998229
1907,3.716680699318657e-06,10.54385452746462,166.82464077249497,1075.3234018054095,0.20426577114120234,0.5101937741958584
1908,3.943543971099034e-06,10.338773626836126,157.02179133237945,986.7210201242272,0.20409562057116884,0.5409952120205628
1909,5.1635928441960685e-06,9.421668015930424,176.8618943589343,1088.7498184178894,0.20392561173421342,0.5077670226884341
1910,5.504768712785446e-06,8.278825453835614,174.62705627455617,1287.825998959697,0.2037557445122743,0.4806903965963467
1911,4.694157736340776e-06,10.256601220291403,180.28373049707147,1183.641939542974,0.20358601878738822,0.4667508499228875
1912,4.905561645103722e-06,9.776668045945177,180.5757040606438,1150.5492073391779,0.20341643444169002,0.48127961155602117
1913,5.416870549434583e-06,10.380505025608924,193.80878883843974,1098.047399343253,0.20324699135741278,0.48235459764700217
1914,4.14816013480233e-06,9.476084288620722,208.92774910991378,869.2324437000148,0.20307768941688772,0.5317515998868352
1915,3.954639223916315e-06,9.391932707124637,214.81727512604834,935.1316186729442,0.202908528502544,0.511427156822258
1916,3.610386194126276e-06,9.963039913584002,220.76262012434077,938.4355894217894,0.20273950849690886,0.507896308663969
