file_path,start_time,end_time
/scratch/waseem/MIRA_insitu/trimmed_data/20241029_trimmed.nc,2024-10-29 00:00:06,2024-10-29 23:59:56
/scratch/waseem/MIRA_insitu/trimmed_data/20241030_trimmed.nc,2024-10-30 00:00:06,2024-10-31 00:00:00
/scratch/waseem/MIRA_insitu/trimmed_data/20241031_trimmed.nc,2024-10-31 00:00:06,2024-10-31 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241101_trimmed.nc,2024-11-01 00:00:06,2024-11-01 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241102_trimmed.nc,2024-11-02 00:00:06,2024-11-02 23:59:56
/scratch/waseem/MIRA_insitu/trimmed_data/20241103_trimmed.nc,2024-11-03 00:00:06,2024-11-03 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241104_trimmed.nc,2024-11-04 00:00:06,2024-11-04 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241105_trimmed.nc,2024-11-05 00:00:06,2024-11-05 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241106_trimmed.nc,2024-11-06 00:00:07,2024-11-06 23:59:56
/scratch/waseem/MIRA_insitu/trimmed_data/20241107_trimmed.nc,2024-11-07 00:00:06,2024-11-07 23:59:56
/scratch/waseem/MIRA_insitu/trimmed_data/20241108_trimmed.nc,2024-11-08 00:00:06,2024-11-08 23:59:56
/scratch/waseem/MIRA_insitu/trimmed_data/20241109_trimmed.nc,2024-11-09 00:00:06,2024-11-10 00:00:00
/scratch/waseem/MIRA_insitu/trimmed_data/20241110_trimmed.nc,2024-11-10 00:00:06,2024-11-10 23:59:56
/scratch/waseem/MIRA_insitu/trimmed_data/20241111_trimmed.nc,2024-11-11 00:00:06,2024-11-12 00:00:01
/scratch/waseem/MIRA_insitu/trimmed_data/20241112_trimmed.nc,2024-11-12 00:00:06,2024-11-12 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241113_trimmed.nc,2024-11-13 00:00:06,2024-11-13 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241114_trimmed.nc,2024-11-14 00:00:06,2024-11-14 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241115_trimmed.nc,2024-11-15 00:00:07,2024-11-15 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241116_trimmed.nc,2024-11-16 00:00:07,2024-11-16 23:59:56
/scratch/waseem/MIRA_insitu/trimmed_data/20241117_trimmed.nc,2024-11-17 00:00:06,2024-11-17 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241118_trimmed.nc,2024-11-18 00:00:06,2024-11-18 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241119_trimmed.nc,2024-11-19 00:00:06,2024-11-19 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241120_trimmed.nc,2024-11-20 00:00:06,2024-11-20 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241121_trimmed.nc,2024-11-21 00:00:06,2024-11-21 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241122_trimmed.nc,2024-11-22 00:00:06,2024-11-22 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241123_trimmed.nc,2024-11-23 00:00:06,2024-11-23 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241124_trimmed.nc,2024-11-24 00:00:06,2024-11-24 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241125_trimmed.nc,2024-11-25 00:00:06,2024-11-25 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241126_trimmed.nc,2024-11-26 00:00:06,2024-11-26 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241127_trimmed.nc,2024-11-27 00:00:06,2024-11-27 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241128_trimmed.nc,2024-11-28 00:00:06,2024-11-28 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241129_trimmed.nc,2024-11-29 00:00:06,2024-11-29 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241130_trimmed.nc,2024-11-30 00:00:06,2024-11-30 23:59:58
